,track_uri,artist_uri,genres
0,3khntzHFE5TrhT7OKrFlPh,0rasA5Z5h1ITtHelCpfu9R,electronica
0,3khntzHFE5TrhT7OKrFlPh,0rasA5Z5h1ITtHelCpfu9R,german techno
0,3khntzHFE5TrhT7OKrFlPh,0rasA5Z5h1ITtHelCpfu9R,leipzig electronic
0,3khntzHFE5TrhT7OKrFlPh,0rasA5Z5h1ITtHelCpfu9R,minimal techno
0,3khntzHFE5TrhT7OKrFlPh,0rasA5Z5h1ITtHelCpfu9R,tech house
1,3AtYBAALKWcqxZs0KEKt4r,4AK6F7OLvEQ5QYCBNiQWHq,boy band
1,3AtYBAALKWcqxZs0KEKt4r,4AK6F7OLvEQ5QYCBNiQWHq,pop
1,3AtYBAALKWcqxZs0KEKt4r,4AK6F7OLvEQ5QYCBNiQWHq,post-teen pop
1,3AtYBAALKWcqxZs0KEKt4r,4AK6F7OLvEQ5QYCBNiQWHq,talent show
2,24kXwnMOucjqg4GAssQLks,3BroLrMp9Q01yOnhLn9qxX,polish alternative rap
2,24kXwnMOucjqg4GAssQLks,3BroLrMp9Q01yOnhLn9qxX,polish hip hop
2,24kXwnMOucjqg4GAssQLks,3BroLrMp9Q01yOnhLn9qxX,polish pop
3,2q8RkxBduttply1L2qF0rJ,5vUOpaF96QTRjj0o1ycWtz,
4,57PlSDssRq1nXDqxNnfp7R,0SfsnGyD8FpIN4U4WCkBZ5,dutch trance
4,57PlSDssRq1nXDqxNnfp7R,0SfsnGyD8FpIN4U4WCkBZ5,edm
4,57PlSDssRq1nXDqxNnfp7R,0SfsnGyD8FpIN4U4WCkBZ5,pop dance
4,57PlSDssRq1nXDqxNnfp7R,0SfsnGyD8FpIN4U4WCkBZ5,progressive house
4,57PlSDssRq1nXDqxNnfp7R,0SfsnGyD8FpIN4U4WCkBZ5,trance
5,6fafespfwzeaySxK9lJCYf,4k1ELeJKT1ISyDv8JivPpB,big beat
5,6fafespfwzeaySxK9lJCYf,4k1ELeJKT1ISyDv8JivPpB,breakbeat
5,6fafespfwzeaySxK9lJCYf,4k1ELeJKT1ISyDv8JivPpB,dance rock
5,6fafespfwzeaySxK9lJCYf,4k1ELeJKT1ISyDv8JivPpB,hardcore techno
5,6fafespfwzeaySxK9lJCYf,4k1ELeJKT1ISyDv8JivPpB,rave
6,2kdZZx0qnTcQJ7LszfZxFY,1mU61l2mcjEFraXZLpvVMo,pop edm
7,5dyQPiTnzyGfn1kSrjRrFG,3BroLrMp9Q01yOnhLn9qxX,polish alternative rap
7,5dyQPiTnzyGfn1kSrjRrFG,3BroLrMp9Q01yOnhLn9qxX,polish hip hop
