,endTime,artistName,trackName,msPlayed,UniqueID,In Library,album,track_uri
0,2020-06-04 08:56,Major Lazer,Cold Water (feat. Justin Bieber & MØ),18820,Major Lazer:Cold Water (feat. Justin Bieber & MØ),0,,
1,2020-10-16 05:35,Tiësto,Acordeão,131204,Tiësto:Acordeão,0,,
2,2020-10-16 05:35,Burak Yeter,My Life Is Going On - Burak Yeter Remix,4626,Burak Yeter:My Life Is Going On - Burak Yeter Remix,0,,
3,2020-10-16 05:35,Parx,Fantasy,1570,Parx:Fantasy,0,,
4,2020-10-16 05:35,Gorgon City,Saving My Life,1168,Gorgon City:Saving My Life,0,,
5,2020-10-16 05:42,Flume,Never Be Like You,13950,Flume:Never Be Like You,0,,
6,2020-10-16 05:42,Grafix,Radiance,1649,Grafix:Radiance,0,,
7,2020-10-16 05:42,Sub Focus,Desire (with Dimension),215172,Sub Focus:Desire (with Dimension),0,,
8,2020-10-16 05:45,SAINt JHN,Roses - Imanbek Remix,176840,SAINt JHN:Roses - Imanbek Remix,0,,
9,2020-10-16 05:48,Bakermat,Baianá,180842,Bakermat:Baianá,0,,
10,2020-10-16 05:51,Winona Oak,He Don't Love Me - Gaullin Remix,196636,Winona Oak:He Don't Love Me - Gaullin Remix,0,,
11,2020-10-19 07:37,Long & Junior,Bądź Moją Królową (Radio Edit),6210,Long & Junior:Bądź Moją Królową (Radio Edit),0,,
12,2020-10-19 07:37,Quebonafide,BUBBLETEA,4680,Quebonafide:BUBBLETEA,0,,
13,2020-10-19 07:37,WWO,Sen,5490,WWO:Sen,0,,
14,2020-10-19 07:37,MiłyPan,Melanż,11750,MiłyPan:Melanż,0,,
15,2020-10-19 07:42,Quebonafide,BUBBLETEA,284000,Quebonafide:BUBBLETEA,0,,
16,2020-10-19 07:42,Piotr Rogucki,Hi-Fi - Live,22290,Piotr Rogucki:Hi-Fi - Live,0,,
17,2020-10-19 07:43,WWO,Pamiętacie?,5120,WWO:Pamiętacie?,0,,
18,2020-10-19 07:43,WWO,Sen,14300,WWO:Sen,0,,
19,2020-10-19 07:43,WWO,Pewnego dnia,7550,WWO:Pewnego dnia,0,,
20,2020-10-19 07:43,WWO,Mówisz i masz,4120,WWO:Mówisz i masz,0,,
21,2020-10-19 07:46,WWO,Sen,160000,WWO:Sen,0,,
22,2020-10-19 07:48,WWO,Mówisz i masz,121860,WWO:Mówisz i masz,0,,
23,2020-10-19 10:39,Diplo,Hold You Tight,218232,Diplo:Hold You Tight,0,,
24,2020-10-19 10:42,Major Lazer,Cold Water (feat. Justin Bieber & MØ),185351,Major Lazer:Cold Water (feat. Justin Bieber & MØ),0,,
25,2020-10-19 10:43,Borgeous,Zero Gravity (feat. Lights) - Radio Edit,100306,Borgeous:Zero Gravity (feat. Lights) - Radio Edit,0,,
26,2020-10-19 10:47,DJ Snake,Loco Contigo (feat. J. Balvin & Tyga),185194,DJ Snake:Loco Contigo (feat. J. Balvin & Tyga),0,,
27,2020-10-19 10:51,Mark Ronson,Late Night Feelings (feat. Lykke Li),251028,Mark Ronson:Late Night Feelings (feat. Lykke Li),0,,
28,2020-10-19 10:55,AC Slater,Free Your Soul,282000,AC Slater:Free Your Soul,0,,
29,2020-10-19 11:00,Le Youth,R E A L - Tough Love Remix,254946,Le Youth:R E A L - Tough Love Remix,0,,
30,2020-10-19 11:04,Silk City,Electricity (with Dua Lipa),238173,Silk City:Electricity (with Dua Lipa),0,,
31,2020-10-19 11:09,Motez,Down Like This (feat. Tkay Maidza),292093,Motez:Down Like This (feat. Tkay Maidza),0,,
32,2020-10-19 11:13,FISHER,Losing It,248035,FISHER:Losing It,0,,
33,2020-10-19 11:16,BLR,Taj,218709,BLR:Taj,0,,
34,2020-10-19 11:19,Tiësto,BOOM,179512,Tiësto:BOOM,0,,
35,2020-10-19 11:23,Yellow Claw,Beastmode,192904,Yellow Claw:Beastmode,0,,
36,2020-10-19 11:26,Nicky Romero,Lighthouse - Radio Edit,186562,Nicky Romero:Lighthouse - Radio Edit,1,Running Hits 2015.04,68UBEoNeK9h9DDRCS0vqBf
37,2020-10-19 13:46,The Sponges,Space Funk '75,155528,The Sponges:Space Funk '75,0,,
38,2020-10-20 07:28,Białas,Do Ciebie mówię (Pepsi Taste The Beat),4680,Białas:Do Ciebie mówię (Pepsi Taste The Beat),0,,
39,2020-10-20 07:28,BARANOVSKI,Lubię być z nią,7200,BARANOVSKI:Lubię być z nią,0,,
40,2020-10-20 07:28,Sarius,Żyj jak chcesz (Pepsi Taste The Beat),10980,Sarius:Żyj jak chcesz (Pepsi Taste The Beat),0,,
41,2020-10-20 07:29,Natalia Szroeder,Pestki,37160,Natalia Szroeder:Pestki,0,,
42,2020-10-20 07:29,Tiësto,WOW,9133,Tiësto:WOW,0,,
43,2020-10-20 07:29,Sarius,Nigdy Sam (Pepsi Taste The Beat),8040,Sarius:Nigdy Sam (Pepsi Taste The Beat),0,,
44,2020-10-20 07:29,Armin van Buuren,Turn It Up,7696,Armin van Buuren:Turn It Up,0,,
45,2020-10-20 07:30,Bart B More,Want U So,4870,Bart B More:Want U So,0,,
46,2020-10-20 07:30,Knife Party,Ghost Train - Muzz Remix,1410,Knife Party:Ghost Train - Muzz Remix,0,,
47,2020-10-20 07:55,MOTi,La Verdolaga,155714,MOTi:La Verdolaga,0,,
48,2020-10-20 08:00,S.A.R.S.,Buđav lebac,271773,S.A.R.S.:Buđav lebac,0,,
49,2020-10-20 08:03,Benny Page,Front Left,191719,Benny Page:Front Left,0,,
50,2020-10-20 08:09,Benny Page,Turn Down the Lights,348670,Benny Page:Turn Down the Lights,0,,
51,2020-10-20 08:13,Burak Yeter,My Life Is Going On - Burak Yeter Remix,226278,Burak Yeter:My Life Is Going On - Burak Yeter Remix,0,,
52,2020-10-20 08:16,Disciples,No Worries,208264,Disciples:No Worries,0,,
53,2020-10-20 08:20,FISHER,Losing It,248035,FISHER:Losing It,0,,
